outcome,domain,subgroup,year,aamr
Colorectal Cancer,Age Group,35-44 years,2021,3.631
Colorectal Cancer,Age Group,35-44 years,2022,3.671
Colorectal Cancer,Age Group,35-44 years,2023,3.71
Liver Metastasis,Age Group,35-44 years,1999,0.29
Liver Metastasis,Age Group,35-44 years,2000,0.281
Liver Metastasis,Age Group,35-44 years,2001,0.272
Liver Metastasis,Age Group,35-44 years,2002,0.263
Liver Metastasis,Age Group,35-44 years,2003,0.255
Liver Metastasis,Age Group,35-44 years,2004,0.247
Liver Metastasis,Age Group,35-44 years,2005,0.239
Liver Metastasis,Age Group,35-44 years,2006,0.232
Liver Metastasis,Age Group,35-44 years,2007,0.224
Liver Metastasis,Age Group,35-44 years,2008,0.217
Liver Metastasis,Age Group,35-44 years,2009,0.21
Liver Metastasis,Age Group,35-44 years,2010,0.227
Liver Metastasis,Age Group,35-44 years,2011,0.245
Liver Metastasis,Age Group,35-44 years,2012,0.265
Liver Metastasis,Age Group,35-44 years,2013,0.286
Liver Metastasis,Age Group,35-44 years,2014,0.309
Liver Metastasis,Age Group,35-44 years,2015,0.334
Liver Metastasis,Age Group,35-44 years,2016,0.361
Liver Metastasis,Age Group,35-44 years,2017,0.39
Liver Metastasis,Age Group,35-44 years,2018,0.421
Liver Metastasis,Age Group,35-44 years,2019,0.455
Liver Metastasis,Age Group,35-44 years,2020,0.492
Liver Metastasis,Age Group,35-44 years,2021,0.531
Liver Metastasis,Age Group,35-44 years,2022,0.574
Liver Metastasis,Age Group,35-44 years,2023,0.62
Lung Metastasis,Age Group,35-44 years,1999,0.12
Lung Metastasis,Age Group,35-44 years,2000,0.119
Lung Metastasis,Age Group,35-44 years,2001,0.119
Lung Metastasis,Age Group,35-44 years,2002,0.118
Lung Metastasis,Age Group,35-44 years,2003,0.118
Lung Metastasis,Age Group,35-44 years,2004,0.117
Lung Metastasis,Age Group,35-44 years,2005,0.116
Lung Metastasis,Age Group,35-44 years,2006,0.116
Lung Metastasis,Age Group,35-44 years,2007,0.115
Lung Metastasis,Age Group,35-44 years,2008,0.124
Lung Metastasis,Age Group,35-44 years,2009,0.133
Lung Metastasis,Age Group,35-44 years,2010,0.142
Lung Metastasis,Age Group,35-44 years,2011,0.152
Lung Metastasis,Age Group,35-44 years,2012,0.163
Lung Metastasis,Age Group,35-44 years,2013,0.175
Lung Metastasis,Age Group,35-44 years,2014,0.188
Lung Metastasis,Age Group,35-44 years,2015,0.201
Lung Metastasis,Age Group,35-44 years,2016,0.216
Lung Metastasis,Age Group,35-44 years,2017,0.231
Lung Metastasis,Age Group,35-44 years,2018,0.248
Lung Metastasis,Age Group,35-44 years,2019,0.265
Lung Metastasis,Age Group,35-44 years,2020,0.284
Lung Metastasis,Age Group,35-44 years,2021,0.305
Lung Metastasis,Age Group,35-44 years,2022,0.327
Lung Metastasis,Age Group,35-44 years,2023,0.35
Colorectal Cancer,Age Group,45-54 years,1999,10.88
Colorectal Cancer,Age Group,45-54 years,2000,11.188
Colorectal Cancer,Age Group,45-54 years,2001,11.505
Colorectal Cancer,Age Group,45-54 years,2002,11.044
Colorectal Cancer,Age Group,45-54 years,2003,10.601
Colorectal Cancer,Age Group,45-54 years,2004,10.177
Colorectal Cancer,Age Group,45-54 years,2005,10.272
Colorectal Cancer,Age Group,45-54 years,2006,10.367
Colorectal Cancer,Age Group,45-54 years,2007,10.464
Colorectal Cancer,Age Group,45-54 years,2008,10.562
Colorectal Cancer,Age Group,45-54 years,2009,10.66
Colorectal Cancer,Age Group,45-54 years,2010,10.76
Colorectal Cancer,Age Group,45-54 years,2011,10.86
Colorectal Cancer,Age Group,45-54 years,2012,10.961
Colorectal Cancer,Age Group,45-54 years,2013,11.064
Colorectal Cancer,Age Group,45-54 years,2014,11.167
Colorectal Cancer,Age Group,45-54 years,2015,11.271
Colorectal Cancer,Age Group,45-54 years,2016,11.376
Colorectal Cancer,Age Group,45-54 years,2017,11.482
Colorectal Cancer,Age Group,45-54 years,2018,11.589
Colorectal Cancer,Age Group,45-54 years,2019,11.697
Colorectal Cancer,Age Group,45-54 years,2020,11.807
Colorectal Cancer,Age Group,45-54 years,2021,11.917
Colorectal Cancer,Age Group,45-54 years,2022,12.028
Colorectal Cancer,Age Group,45-54 years,2023,12.14
Liver Metastasis,Age Group,45-54 years,1999,1.26
Liver Metastasis,Age Group,45-54 years,2000,1.179
Liver Metastasis,Age Group,45-54 years,2001,1.104
Liver Metastasis,Age Group,45-54 years,2002,1.033
Liver Metastasis,Age Group,45-54 years,2003,0.967
Liver Metastasis,Age Group,45-54 years,2004,0.905
Liver Metastasis,Age Group,45-54 years,2005,0.847
Liver Metastasis,Age Group,45-54 years,2006,0.793
Liver Metastasis,Age Group,45-54 years,2007,0.801
Liver Metastasis,Age Group,45-54 years,2008,0.809
Liver Metastasis,Age Group,45-54 years,2009,0.818
Liver Metastasis,Age Group,45-54 years,2010,0.826
Liver Metastasis,Age Group,45-54 years,2011,0.835
Liver Metastasis,Age Group,45-54 years,2012,0.844
Liver Metastasis,Age Group,45-54 years,2013,0.852
Liver Metastasis,Age Group,45-54 years,2014,0.993
Liver Metastasis,Age Group,45-54 years,2015,1.158
Liver Metastasis,Age Group,45-54 years,2016,1.349
Liver Metastasis,Age Group,45-54 years,2017,1.425
Liver Metastasis,Age Group,45-54 years,2018,1.505
Liver Metastasis,Age Group,45-54 years,2019,1.59
Liver Metastasis,Age Group,45-54 years,2020,1.68
Liver Metastasis,Age Group,45-54 years,2021,1.774
Liver Metastasis,Age Group,45-54 years,2022,1.874
Liver Metastasis,Age Group,45-54 years,2023,1.98
Lung Metastasis,Age Group,45-54 years,1999,0.48
Lung Metastasis,Age Group,45-54 years,2000,0.461
Lung Metastasis,Age Group,45-54 years,2001,0.442
Lung Metastasis,Age Group,45-54 years,2002,0.424
Lung Metastasis,Age Group,45-54 years,2003,0.407
Lung Metastasis,Age Group,45-54 years,2004,0.391
Lung Metastasis,Age Group,45-54 years,2005,0.375
Lung Metastasis,Age Group,45-54 years,2006,0.389
Lung Metastasis,Age Group,45-54 years,2007,0.403
Lung Metastasis,Age Group,45-54 years,2008,0.418
Lung Metastasis,Age Group,45-54 years,2009,0.433
Lung Metastasis,Age Group,45-54 years,2010,0.449
Lung Metastasis,Age Group,45-54 years,2011,0.465
Lung Metastasis,Age Group,45-54 years,2012,0.482
Lung Metastasis,Age Group,45-54 years,2013,0.5
Lung Metastasis,Age Group,45-54 years,2014,0.574
Lung Metastasis,Age Group,45-54 years,2015,0.66
Lung Metastasis,Age Group,45-54 years,2016,0.759
Lung Metastasis,Age Group,45-54 years,2017,0.872
Lung Metastasis,Age Group,45-54 years,2018,0.92
Lung Metastasis,Age Group,45-54 years,2019,0.97
Lung Metastasis,Age Group,45-54 years,2020,1.023
Lung Metastasis,Age Group,45-54 years,2021,1.079
Lung Metastasis,Age Group,45-54 years,2022,1.138
Lung Metastasis,Age Group,45-54 years,2023,1.2
Colorectal Cancer,Age Group,55-64 years,1999,33.17
Colorectal Cancer,Age Group,55-64 years,2000,32.02
Colorectal Cancer,Age Group,55-64 years,2001,30.91
Colorectal Cancer,Age Group,55-64 years,2002,29.838
Colorectal Cancer,Age Group,55-64 years,2003,28.803
Colorectal Cancer,Age Group,55-64 years,2004,27.804
Colorectal Cancer,Age Group,55-64 years,2005,26.84
Colorectal Cancer,Age Group,55-64 years,2006,26.509
Colorectal Cancer,Age Group,55-64 years,2007,26.181
Colorectal Cancer,Age Group,55-64 years,2008,25.858
Colorectal Cancer,Age Group,55-64 years,2009,25.538
Colorectal Cancer,Age Group,55-64 years,2010,25.222
Colorectal Cancer,Age Group,55-64 years,2011,24.911
Colorectal Cancer,Age Group,55-64 years,2012,24.603
Colorectal Cancer,Age Group,55-64 years,2013,24.298
Colorectal Cancer,Age Group,55-64 years,2014,24.295
Colorectal Cancer,Age Group,55-64 years,2015,24.291
Colorectal Cancer,Age Group,55-64 years,2016,24.287
Colorectal Cancer,Age Group,55-64 years,2017,24.284
Colorectal Cancer,Age Group,55-64 years,2018,24.28
Colorectal Cancer,Age Group,55-64 years,2019,24.276
Colorectal Cancer,Age Group,55-64 years,2020,24.272
Colorectal Cancer,Age Group,55-64 years,2021,24.268
Colorectal Cancer,Age Group,55-64 years,2022,24.264
Colorectal Cancer,Age Group,55-64 years,2023,24.26
Liver Metastasis,Age Group,55-64 years,1999,3.99
Liver Metastasis,Age Group,55-64 years,2000,3.663
Liver Metastasis,Age Group,55-64 years,2001,3.362
Liver Metastasis,Age Group,55-64 years,2002,3.087
Liver Metastasis,Age Group,55-64 years,2003,2.833
Liver Metastasis,Age Group,55-64 years,2004,2.601
Liver Metastasis,Age Group,55-64 years,2005,2.388
Liver Metastasis,Age Group,55-64 years,2006,2.192
Liver Metastasis,Age Group,55-64 years,2007,2.159
Liver Metastasis,Age Group,55-64 years,2008,2.126
Liver Metastasis,Age Group,55-64 years,2009,2.093
Liver Metastasis,Age Group,55-64 years,2010,2.061
Liver Metastasis,Age Group,55-64 years,2011,2.03
Liver Metastasis,Age Group,55-64 years,2012,1.999
Liver Metastasis,Age Group,55-64 years,2013,1.968
Liver Metastasis,Age Group,55-64 years,2014,2.242
Liver Metastasis,Age Group,55-64 years,2015,2.555
Liver Metastasis,Age Group,55-64 years,2016,2.91
Liver Metastasis,Age Group,55-64 years,2017,3.013
Liver Metastasis,Age Group,55-64 years,2018,3.119
Liver Metastasis,Age Group,55-64 years,2019,3.229
Liver Metastasis,Age Group,55-64 years,2020,3.343
Liver Metastasis,Age Group,55-64 years,2021,3.461
Liver Metastasis,Age Group,55-64 years,2022,3.584
Liver Metastasis,Age Group,55-64 years,2023,3.71
Lung Metastasis,Age Group,55-64 years,1999,1.59
Lung Metastasis,Age Group,55-64 years,2000,1.527
Lung Metastasis,Age Group,55-64 years,2001,1.466
Lung Metastasis,Age Group,55-64 years,2002,1.408
Lung Metastasis,Age Group,55-64 years,2003,1.352
Lung Metastasis,Age Group,55-64 years,2004,1.298
Lung Metastasis,Age Group,55-64 years,2005,1.246
Lung Metastasis,Age Group,55-64 years,2006,1.197
Lung Metastasis,Age Group,55-64 years,2007,1.2
Lung Metastasis,Age Group,55-64 years,2008,1.203
Lung Metastasis,Age Group,55-64 years,2009,1.207
Lung Metastasis,Age Group,55-64 years,2010,1.21
Lung Metastasis,Age Group,55-64 years,2011,1.213
Lung Metastasis,Age Group,55-64 years,2012,1.216
Lung Metastasis,Age Group,55-64 years,2013,1.22
Lung Metastasis,Age Group,55-64 years,2014,1.391
Lung Metastasis,Age Group,55-64 years,2015,1.586
Lung Metastasis,Age Group,55-64 years,2016,1.808
Lung Metastasis,Age Group,55-64 years,2017,1.857
Lung Metastasis,Age Group,55-64 years,2018,1.907
Lung Metastasis,Age Group,55-64 years,2019,1.959
Lung Metastasis,Age Group,55-64 years,2020,2.012
Lung Metastasis,Age Group,55-64 years,2021,2.067
Lung Metastasis,Age Group,55-64 years,2022,2.123
Lung Metastasis,Age Group,55-64 years,2023,2.18
Colorectal Cancer,Age Group,65-74 years,1999,76.81
Colorectal Cancer,Age Group,65-74 years,2000,76.062
Colorectal Cancer,Age Group,65-74 years,2001,75.321
Colorectal Cancer,Age Group,65-74 years,2002,71.56
Colorectal Cancer,Age Group,65-74 years,2003,67.986
Colorectal Cancer,Age Group,65-74 years,2004,64.592
Colorectal Cancer,Age Group,65-74 years,2005,62.309
Colorectal Cancer,Age Group,65-74 years,2006,60.107
Colorectal Cancer,Age Group,65-74 years,2007,57.983
Colorectal Cancer,Age Group,65-74 years,2008,55.934
Colorectal Cancer,Age Group,65-74 years,2009,53.958
Colorectal Cancer,Age Group,65-74 years,2010,52.051
Colorectal Cancer,Age Group,65-74 years,2011,50.212
Colorectal Cancer,Age Group,65-74 years,2012,48.437
Colorectal Cancer,Age Group,65-74 years,2013,46.726
Colorectal Cancer,Age Group,65-74 years,2014,45.075
Colorectal Cancer,Age Group,65-74 years,2015,44.149
Colorectal Cancer,Age Group,65-74 years,2016,43.242
Colorectal Cancer,Age Group,65-74 years,2017,42.354
Colorectal Cancer,Age Group,65-74 years,2018,41.484
Colorectal Cancer,Age Group,65-74 years,2019,40.632
Colorectal Cancer,Age Group,65-74 years,2020,39.797
Colorectal Cancer,Age Group,65-74 years,2021,39.812
Colorectal Cancer,Age Group,65-74 years,2022,39.826
Colorectal Cancer,Age Group,65-74 years,2023,39.84
Liver Metastasis,Age Group,65-74 years,1999,9.34
Liver Metastasis,Age Group,65-74 years,2000,8.473
Liver Metastasis,Age Group,65-74 years,2001,7.686
Liver Metastasis,Age Group,65-74 years,2002,6.972
Liver Metastasis,Age Group,65-74 years,2003,6.325
Liver Metastasis,Age Group,65-74 years,2004,5.737
Liver Metastasis,Age Group,65-74 years,2005,5.205
Liver Metastasis,Age Group,65-74 years,2006,4.721
Liver Metastasis,Age Group,65-74 years,2007,4.283
Liver Metastasis,Age Group,65-74 years,2008,3.885
Liver Metastasis,Age Group,65-74 years,2009,3.861
Liver Metastasis,Age Group,65-74 years,2010,3.836
Liver Metastasis,Age Group,65-74 years,2011,3.812
Liver Metastasis,Age Group,65-74 years,2012,3.788
Liver Metastasis,Age Group,65-74 years,2013,3.764
Liver Metastasis,Age Group,65-74 years,2014,3.74
Liver Metastasis,Age Group,65-74 years,2015,4.087
Liver Metastasis,Age Group,65-74 years,2016,4.466
Liver Metastasis,Age Group,65-74 years,2017,4.88
Liver Metastasis,Age Group,65-74 years,2018,4.951
Liver Metastasis,Age Group,65-74 years,2019,5.023
Liver Metastasis,Age Group,65-74 years,2020,5.095
Liver Metastasis,Age Group,65-74 years,2021,5.169
Liver Metastasis,Age Group,65-74 years,2022,5.244
Liver Metastasis,Age Group,65-74 years,2023,5.32
Lung Metastasis,Age Group,65-74 years,1999,3.76
Lung Metastasis,Age Group,65-74 years,2000,3.629
Lung Metastasis,Age Group,65-74 years,2001,3.503
Lung Metastasis,Age Group,65-74 years,2002,3.381
Lung Metastasis,Age Group,65-74 years,2003,3.263
Lung Metastasis,Age Group,65-74 years,2004,3.15
Lung Metastasis,Age Group,65-74 years,2005,3.04
Lung Metastasis,Age Group,65-74 years,2006,2.934
Lung Metastasis,Age Group,65-74 years,2007,2.832
Lung Metastasis,Age Group,65-74 years,2008,2.734
Lung Metastasis,Age Group,65-74 years,2009,2.639
Lung Metastasis,Age Group,65-74 years,2010,2.547
Lung Metastasis,Age Group,65-74 years,2011,2.458
Lung Metastasis,Age Group,65-74 years,2012,2.373
Lung Metastasis,Age Group,65-74 years,2013,2.29
Lung Metastasis,Age Group,65-74 years,2014,2.504
Lung Metastasis,Age Group,65-74 years,2015,2.737
Lung Metastasis,Age Group,65-74 years,2016,2.993
Lung Metastasis,Age Group,65-74 years,2017,3.032
Lung Metastasis,Age Group,65-74 years,2018,3.072
Lung Metastasis,Age Group,65-74 years,2019,3.113
Lung Metastasis,Age Group,65-74 years,2020,3.154
Lung Metastasis,Age Group,65-74 years,2021,3.195
Lung Metastasis,Age Group,65-74 years,2022,3.237
Lung Metastasis,Age Group,65-74 years,2023,3.28
Colorectal Cancer,Age Group,75-84 years,1999,145.84
Colorectal Cancer,Age Group,75-84 years,2000,141.421
Colorectal Cancer,Age Group,75-84 years,2001,137.135
Colorectal Cancer,Age Group,75-84 years,2002,132.979
Colorectal Cancer,Age Group,75-84 years,2003,128.948
Colorectal Cancer,Age Group,75-84 years,2004,125.039
Colorectal Cancer,Age Group,75-84 years,2005,121.248
Colorectal Cancer,Age Group,75-84 years,2006,117.572
Colorectal Cancer,Age Group,75-84 years,2007,114.007
Colorectal Cancer,Age Group,75-84 years,2008,110.55
Colorectal Cancer,Age Group,75-84 years,2009,107.197
Colorectal Cancer,Age Group,75-84 years,2010,103.946
Colorectal Cancer,Age Group,75-84 years,2011,100.793
Colorectal Cancer,Age Group,75-84 years,2012,97.735
Colorectal Cancer,Age Group,75-84 years,2013,94.77
Colorectal Cancer,Age Group,75-84 years,2014,91.894
Colorectal Cancer,Age Group,75-84 years,2015,89.106
Colorectal Cancer,Age Group,75-84 years,2016,86.401
Colorectal Cancer,Age Group,75-84 years,2017,83.779
Colorectal Cancer,Age Group,75-84 years,2018,81.236
Colorectal Cancer,Age Group,75-84 years,2019,78.77
Colorectal Cancer,Age Group,75-84 years,2020,76.379
Colorectal Cancer,Age Group,75-84 years,2021,74.06
Colorectal Cancer,Age Group,75-84 years,2022,71.811
Colorectal Cancer,Age Group,75-84 years,2023,69.63
Liver Metastasis,Age Group,75-84 years,1999,15.09
Liver Metastasis,Age Group,75-84 years,2000,13.838
Liver Metastasis,Age Group,75-84 years,2001,12.69
Liver Metastasis,Age Group,75-84 years,2002,11.636
Liver Metastasis,Age Group,75-84 years,2003,10.671
Liver Metastasis,Age Group,75-84 years,2004,9.785
Liver Metastasis,Age Group,75-84 years,2005,8.973
Liver Metastasis,Age Group,75-84 years,2006,8.228
Liver Metastasis,Age Group,75-84 years,2007,7.545
Liver Metastasis,Age Group,75-84 years,2008,6.919
Liver Metastasis,Age Group,75-84 years,2009,6.344
Liver Metastasis,Age Group,75-84 years,2010,6.455
Liver Metastasis,Age Group,75-84 years,2011,6.568
Liver Metastasis,Age Group,75-84 years,2012,6.682
Liver Metastasis,Age Group,75-84 years,2013,6.799
Liver Metastasis,Age Group,75-84 years,2014,6.917
Liver Metastasis,Age Group,75-84 years,2015,7.038
Liver Metastasis,Age Group,75-84 years,2016,7.161
Liver Metastasis,Age Group,75-84 years,2017,7.285
Liver Metastasis,Age Group,75-84 years,2018,7.412
Liver Metastasis,Age Group,75-84 years,2019,7.541
Liver Metastasis,Age Group,75-84 years,2020,7.673
Liver Metastasis,Age Group,75-84 years,2021,7.806
Liver Metastasis,Age Group,75-84 years,2022,7.942
Liver Metastasis,Age Group,75-84 years,2023,8.08
Lung Metastasis,Age Group,75-84 years,1999,6.54
Lung Metastasis,Age Group,75-84 years,2000,6.256
Lung Metastasis,Age Group,75-84 years,2001,5.985
Lung Metastasis,Age Group,75-84 years,2002,5.725
Lung Metastasis,Age Group,75-84 years,2003,5.477
Lung Metastasis,Age Group,75-84 years,2004,5.239
Lung Metastasis,Age Group,75-84 years,2005,5.012
Lung Metastasis,Age Group,75-84 years,2006,4.794
Lung Metastasis,Age Group,75-84 years,2007,4.586
Lung Metastasis,Age Group,75-84 years,2008,4.387
Lung Metastasis,Age Group,75-84 years,2009,4.425
Lung Metastasis,Age Group,75-84 years,2010,4.463
Lung Metastasis,Age Group,75-84 years,2011,4.502
Lung Metastasis,Age Group,75-84 years,2012,4.541
Lung Metastasis,Age Group,75-84 years,2013,4.58
Lung Metastasis,Age Group,75-84 years,2014,4.619
Lung Metastasis,Age Group,75-84 years,2015,4.659
Lung Metastasis,Age Group,75-84 years,2016,4.699
Lung Metastasis,Age Group,75-84 years,2017,4.74
Lung Metastasis,Age Group,75-84 years,2018,4.78
Lung Metastasis,Age Group,75-84 years,2019,4.822
Lung Metastasis,Age Group,75-84 years,2020,4.863
Lung Metastasis,Age Group,75-84 years,2021,4.905
Lung Metastasis,Age Group,75-84 years,2022,4.947
Lung Metastasis,Age Group,75-84 years,2023,4.99
Colorectal Cancer,Age Group,85+ years,1999,270.27
Colorectal Cancer,Age Group,85+ years,2000,262.636
Colorectal Cancer,Age Group,85+ years,2001,255.216
Colorectal Cancer,Age Group,85+ years,2002,248.006
Colorectal Cancer,Age Group,85+ years,2003,240.999
Colorectal Cancer,Age Group,85+ years,2004,234.19
Colorectal Cancer,Age Group,85+ years,2005,227.573
Colorectal Cancer,Age Group,85+ years,2006,221.142
Colorectal Cancer,Age Group,85+ years,2007,214.892
Colorectal Cancer,Age Group,85+ years,2008,208.819
Colorectal Cancer,Age Group,85+ years,2009,202.917
Colorectal Cancer,Age Group,85+ years,2010,197.181
Colorectal Cancer,Age Group,85+ years,2011,191.608
Colorectal Cancer,Age Group,85+ years,2012,186.191
Colorectal Cancer,Age Group,85+ years,2013,180.927
Colorectal Cancer,Age Group,85+ years,2014,175.812
Colorectal Cancer,Age Group,85+ years,2015,170.841
Colorectal Cancer,Age Group,85+ years,2016,166.01
Colorectal Cancer,Age Group,85+ years,2017,161.315
Colorectal Cancer,Age Group,85+ years,2018,156.753
Colorectal Cancer,Age Group,85+ years,2019,156.935
Colorectal Cancer,Age Group,85+ years,2020,157.116
Colorectal Cancer,Age Group,85+ years,2021,157.298
Colorectal Cancer,Age Group,85+ years,2022,157.479
Colorectal Cancer,Age Group,85+ years,2023,157.66
Liver Metastasis,Age Group,85+ years,1999,17.26
Liver Metastasis,Age Group,85+ years,2000,16.158
Liver Metastasis,Age Group,85+ years,2001,15.127
Liver Metastasis,Age Group,85+ years,2002,14.162
Liver Metastasis,Age Group,85+ years,2003,13.258
Liver Metastasis,Age Group,85+ years,2004,12.411
Liver Metastasis,Age Group,85+ years,2005,11.619
Liver Metastasis,Age Group,85+ years,2006,10.878
Liver Metastasis,Age Group,85+ years,2007,10.183
Liver Metastasis,Age Group,85+ years,2008,9.533
Liver Metastasis,Age Group,85+ years,2009,8.925
Liver Metastasis,Age Group,85+ years,2010,8.355
Liver Metastasis,Age Group,85+ years,2011,8.628
Liver Metastasis,Age Group,85+ years,2012,8.91
Liver Metastasis,Age Group,85+ years,2013,9.201
Liver Metastasis,Age Group,85+ years,2014,9.502
Liver Metastasis,Age Group,85+ years,2015,9.812
Liver Metastasis,Age Group,85+ years,2016,10.133
Liver Metastasis,Age Group,85+ years,2017,10.464
Liver Metastasis,Age Group,85+ years,2018,10.806
Liver Metastasis,Age Group,85+ years,2019,11.159
Liver Metastasis,Age Group,85+ years,2020,11.523
Liver Metastasis,Age Group,85+ years,2021,11.9
Liver Metastasis,Age Group,85+ years,2022,12.289
Liver Metastasis,Age Group,85+ years,2023,12.69
Lung Metastasis,Age Group,85+ years,1999,8.04
Lung Metastasis,Age Group,85+ years,2000,7.748
Lung Metastasis,Age Group,85+ years,2001,7.467
Lung Metastasis,Age Group,85+ years,2002,7.196
Lung Metastasis,Age Group,85+ years,2003,6.935
Lung Metastasis,Age Group,85+ years,2004,6.684
Lung Metastasis,Age Group,85+ years,2005,6.441
Lung Metastasis,Age Group,85+ years,2006,6.207
Lung Metastasis,Age Group,85+ years,2007,5.982
Lung Metastasis,Age Group,85+ years,2008,5.765
Lung Metastasis,Age Group,85+ years,2009,5.556
Lung Metastasis,Age Group,85+ years,2010,5.354
Lung Metastasis,Age Group,85+ years,2011,5.514
Lung Metastasis,Age Group,85+ years,2012,5.679
Lung Metastasis,Age Group,85+ years,2013,5.849
Lung Metastasis,Age Group,85+ years,2014,6.023
Lung Metastasis,Age Group,85+ years,2015,6.203
Lung Metastasis,Age Group,85+ years,2016,6.389
Lung Metastasis,Age Group,85+ years,2017,6.579
Lung Metastasis,Age Group,85+ years,2018,6.776
Lung Metastasis,Age Group,85+ years,2019,6.978
Lung Metastasis,Age Group,85+ years,2020,7.187
Lung Metastasis,Age Group,85+ years,2021,7.401
Lung Metastasis,Age Group,85+ years,2022,7.622
Lung Metastasis,Age Group,85+ years,2023,7.85
Colorectal Cancer,Census Region,Midwest,1999,33.99
Colorectal Cancer,Census Region,Midwest,2000,33.044
Colorectal Cancer,Census Region,Midwest,2001,32.123
Colorectal Cancer,Census Region,Midwest,2002,31.229
Colorectal Cancer,Census Region,Midwest,2003,30.359
Colorectal Cancer,Census Region,Midwest,2004,29.514
Colorectal Cancer,Census Region,Midwest,2005,28.692
Colorectal Cancer,Census Region,Midwest,2006,27.893
Colorectal Cancer,Census Region,Midwest,2007,27.116
Colorectal Cancer,Census Region,Midwest,2008,26.361
Colorectal Cancer,Census Region,Midwest,2009,25.627
Colorectal Cancer,Census Region,Midwest,2010,24.913
Colorectal Cancer,Census Region,Midwest,2011,24.219
Colorectal Cancer,Census Region,Midwest,2012,23.545
Colorectal Cancer,Census Region,Midwest,2013,23.212
Colorectal Cancer,Census Region,Midwest,2014,22.884
Colorectal Cancer,Census Region,Midwest,2015,22.56
Colorectal Cancer,Census Region,Midwest,2016,22.241
Colorectal Cancer,Census Region,Midwest,2017,21.926
Colorectal Cancer,Census Region,Midwest,2018,21.616
Colorectal Cancer,Census Region,Midwest,2019,21.31
Colorectal Cancer,Census Region,Midwest,2020,21.009
Colorectal Cancer,Census Region,Midwest,2021,20.712
Colorectal Cancer,Census Region,Midwest,2022,20.419
Colorectal Cancer,Census Region,Midwest,2023,20.13
Liver Metastasis,Census Region,Midwest,1999,3.75
Liver Metastasis,Census Region,Midwest,2000,3.432
Liver Metastasis,Census Region,Midwest,2001,3.141
Liver Metastasis,Census Region,Midwest,2002,2.874
Liver Metastasis,Census Region,Midwest,2003,2.63
Liver Metastasis,Census Region,Midwest,2004,2.407
Liver Metastasis,Census Region,Midwest,2005,2.203
Liver Metastasis,Census Region,Midwest,2006,2.016
Liver Metastasis,Census Region,Midwest,2007,1.845
Liver Metastasis,Census Region,Midwest,2008,1.688
Liver Metastasis,Census Region,Midwest,2009,1.545
Liver Metastasis,Census Region,Midwest,2010,1.523
Liver Metastasis,Census Region,Midwest,2011,1.502
Liver Metastasis,Census Region,Midwest,2012,1.481
Liver Metastasis,Census Region,Midwest,2013,1.461
Liver Metastasis,Census Region,Midwest,2014,1.625
Liver Metastasis,Census Region,Midwest,2015,1.808
Liver Metastasis,Census Region,Midwest,2016,2.011
Liver Metastasis,Census Region,Midwest,2017,2.104
Liver Metastasis,Census Region,Midwest,2018,2.202
Liver Metastasis,Census Region,Midwest,2019,2.303
Liver Metastasis,Census Region,Midwest,2020,2.41
Liver Metastasis,Census Region,Midwest,2021,2.521
Liver Metastasis,Census Region,Midwest,2022,2.638
Liver Metastasis,Census Region,Midwest,2023,2.76
Lung Metastasis,Census Region,Midwest,1999,1.39
Lung Metastasis,Census Region,Midwest,2000,1.343
Lung Metastasis,Census Region,Midwest,2001,1.298
Lung Metastasis,Census Region,Midwest,2002,1.255
Lung Metastasis,Census Region,Midwest,2003,1.213
Lung Metastasis,Census Region,Midwest,2004,1.172
Lung Metastasis,Census Region,Midwest,2005,1.132
Lung Metastasis,Census Region,Midwest,2006,1.094
Lung Metastasis,Census Region,Midwest,2007,1.058
Lung Metastasis,Census Region,Midwest,2008,1.022
Lung Metastasis,Census Region,Midwest,2009,0.988
Lung Metastasis,Census Region,Midwest,2010,0.954
Lung Metastasis,Census Region,Midwest,2011,0.922
Lung Metastasis,Census Region,Midwest,2012,0.968
Lung Metastasis,Census Region,Midwest,2013,1.015
Lung Metastasis,Census Region,Midwest,2014,1.065
Lung Metastasis,Census Region,Midwest,2015,1.118
Lung Metastasis,Census Region,Midwest,2016,1.172
Lung Metastasis,Census Region,Midwest,2017,1.23
Lung Metastasis,Census Region,Midwest,2018,1.29
Lung Metastasis,Census Region,Midwest,2019,1.354
Lung Metastasis,Census Region,Midwest,2020,1.42
Lung Metastasis,Census Region,Midwest,2021,1.49
Lung Metastasis,Census Region,Midwest,2022,1.563
Lung Metastasis,Census Region,Midwest,2023,1.64
Colorectal Cancer,Census Region,Northeast,1999,35.03
Colorectal Cancer,Census Region,Northeast,2000,33.783
Colorectal Cancer,Census Region,Northeast,2001,32.58
Colorectal Cancer,Census Region,Northeast,2002,31.419
Colorectal Cancer,Census Region,Northeast,2003,30.3
Colorectal Cancer,Census Region,Northeast,2004,29.221
Colorectal Cancer,Census Region,Northeast,2005,28.18
Colorectal Cancer,Census Region,Northeast,2006,27.176
Colorectal Cancer,Census Region,Northeast,2007,26.207
Colorectal Cancer,Census Region,Northeast,2008,25.273
Colorectal Cancer,Census Region,Northeast,2009,24.373
Colorectal Cancer,Census Region,Northeast,2010,23.785
Colorectal Cancer,Census Region,Northeast,2011,23.211
Colorectal Cancer,Census Region,Northeast,2012,22.651
